Category,Code,Name,Width,Thickness,Diameter,Height,Length,Weight_per_meter,Standard_lengths,Grade,Standard
RHS,RHS075050040,Rectangular Hollow Section 75x50x4mm,75,4,,50,,5.62,6.1,C350LO,AS/NZS 1163
RHS,RHS075050050,Rectangular Hollow Section 75x50x5mm,75,5,,50,,6.92,6.1,C350LO,AS/NZS 1163
RHS,RHS100050025,Rectangular Hollow Section 100x50x2.5mm,100,2.5,,50,,4.39,6.1,C350LO,AS/NZS 1163
RHS,RHS100050030,Rectangular Hollow Section 100x50x3mm,100,3,,50,,5.21,6.1,C350LO,AS/NZS 1163
RHS,RHS100050035,Rectangular Hollow Section 100x50x3.5mm,100,3.5,,50,,6.02,6.1,C350LO,AS/NZS 1163
RHS,RHS100050040,Rectangular Hollow Section 100x50x4mm,100,4,,50,,6.82,6.1,C350LO,AS/NZS 1163
RHS,RHS100050050,Rectangular Hollow Section 100x50x5mm,100,5,,50,,8.41,6.1,C350LO,AS/NZS 1163
RHS,RHS100050060,Rectangular Hollow Section 100x50x6mm,100,6,,50,,9.98,6.1,C350LO,AS/NZS 1163
RHS,RHS125075030,Rectangular Hollow Section 125x75x3mm,125,3,,75,,7.05,6.1,C350LO,AS/NZS 1163
RHS,RHS125075040,Rectangular Hollow Section 125x75x4mm,125,4,,75,,9.22,6.1,C350LO,AS/NZS 1163
RHS,RHS125075050,Rectangular Hollow Section 125x75x5mm,125,5,,75,,11.36,6.1,C350LO,AS/NZS 1163
RHS,RHS125075060,Rectangular Hollow Section 125x75x6mm,125,6,,75,,13.48,6.1,C350LO,AS/NZS 1163
RHS,RHS150100030,Rectangular Hollow Section 150x100x3mm,150,3,,100,,8.84,6.1,C350LO,AS/NZS 1163
RHS,RHS150100040,Rectangular Hollow Section 150x100x4mm,150,4,,100,,11.69,6.1,C350LO,AS/NZS 1163
RHS,RHS150100050,Rectangular Hollow Section 150x100x5mm,150,5,,100,,14.49,6.1,C350LO,AS/NZS 1163
RHS,RHS150100060,Rectangular Hollow Section 150x100x6mm,150,6,,100,,17.25,6.1,C350LO,AS/NZS 1163
RHS,RHS150100080,Rectangular Hollow Section 150x100x8mm,150,8,,100,,22.59,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS150100090,Rectangular Hollow Section 150x100x9mm,150,9,,100,,25.12,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS200100040,Rectangular Hollow Section 200x100x4mm,200,4,,100,,14.97,6.1,C350LO,AS/NZS 1163
RHS,RHS200100050,Rectangular Hollow Section 200x100x5mm,200,5,,100,,18.56,6.1,C350LO,AS/NZS 1163
RHS,RHS200100060,Rectangular Hollow Section 200x100x6mm,200,6,,100,,22.11,6.1,C350LO,AS/NZS 1163
RHS,RHS200100080,Rectangular Hollow Section 200x100x8mm,200,8,,100,,29.01,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS200100090,Rectangular Hollow Section 200x100x9mm,200,9,,100,,32.30,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS250150060,Rectangular Hollow Section 250x150x6mm,250,6,,150,,35.60,8.0;12.0,C350LO,AS/NZS 1163
RHS,RHS250150090,Rectangular Hollow Section 250x150x9mm,250,9,,150,,51.80,8.0;12.0,C350LO,AS/NZS 1163
Cattle Rail RHS,RHS05903016,Cattle Rail Hollow Section 59x30x1.6mm,59,1.6,,30,,2.60,6.1,C350LO,AS/NZS 1163
Cattle Rail RHS,RHS09704220,Cattle Rail Hollow Section 97x42x2mm,97,2,,42,,3.65,6.1,C350LO,AS/NZS 1163
Cattle Rail RHS,RHS11504220,Cattle Rail Hollow Section 115x42x2mm,115,2,,42,,4.29,6.1,C350LO,AS/NZS 1163
Flats,SF01603,Mild Steel Flat 16x3mm,16,3,,,,,0.38,6.0,300,AS/NZS 3679.1-300
Flats,SF02003,Mild Steel Flat 20x3mm,20,3,,,,,0.47,6.0,300,AS/NZS 3679.1-300
Flats,SF02005,Mild Steel Flat 20x5mm,20,5,,,,,0.79,6.0,300,AS/NZS 3679.1-300
Flats,SF02006,Mild Steel Flat 20x6mm,20,6,,,,,0.94,6.0,300,AS/NZS 3679.1-300
Flats,SF02010,Mild Steel Flat 20x10mm,20,10,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF02503,Mild Steel Flat 25x3mm,25,3,,,,,0.59,6.0,300,AS/NZS 3679.1-300
Flats,SF02505,Mild Steel Flat 25x5mm,25,5,,,,,0.98,6.0,300,AS/NZS 3679.1-300
Flats,SF02506,Mild Steel Flat 25x6mm,25,6,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF02508,Mild Steel Flat 25x8mm,25,8,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF02510,Mild Steel Flat 25x10mm,25,10,,,,,1.96,6.0,300,AS/NZS 3679.1-300
Flats,SF02512,Mild Steel Flat 25x12mm,25,12,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF03003,Mild Steel Flat 30x3mm,30,3,,,,,0.71,6.0,300,AS/NZS 3679.1-300
Flats,SF03005,Mild Steel Flat 30x5mm,30,5,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF03010,Mild Steel Flat 30x10mm,30,10,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF03203,Mild Steel Flat 32x3mm,32,3,,,,,0.75,6.0,300,AS/NZS 3679.1-300
Flats,SF03205,Mild Steel Flat 32x5mm,32,5,,,,,1.26,6.0,300,AS/NZS 3679.1-300
Flats,SF03206,Mild Steel Flat 32x6mm,32,6,,,,,1.51,6.0,300,AS/NZS 3679.1-300
Flats,SF03208,Mild Steel Flat 32x8mm,32,8,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Flats,SF04003,Mild Steel Flat 40x3mm,40,3,,,,,0.94,6.0,300,AS/NZS 3679.1-300
Flats,SF04005,Mild Steel Flat 40x5mm,40,5,,,,,1.57,6.0,300,AS/NZS 3679.1-300
Flats,SF04006,Mild Steel Flat 40x6mm,40,6,,,,,1.88,6.0,300,AS/NZS 3679.1-300
Flats,SF04008,Mild Steel Flat 40x8mm,40,8,,,,,2.51,6.0,300,AS/NZS 3679.1-300
Flats,SF04010,Mild Steel Flat 40x10mm,40,10,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Flats,SF04012,Mild Steel Flat 40x12mm,40,12,,,,,3.77,6.0,300,AS/NZS 3679.1-300
Flats,SF04016,Mild Steel Flat 40x16mm,40,16,,,,,5.02,6.0,300,AS/NZS 3679.1-300
Flats,SF05003,Mild Steel Flat 50x3mm,50,3,,,,,1.18,6.0,300,AS/NZS 3679.1-300
Flats,SF05005,Mild Steel Flat 50x5mm,50,5,,,,,1.96,6.0,300,AS/NZS 3679.1-300
Flats,SF05006,Mild Steel Flat 50x6mm,50,6,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF05008,Mild Steel Flat 50x8mm,50,8,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Flats,SF05010,Mild Steel Flat 50x10mm,50,10,,,,,3.93,6.0,300,AS/NZS 3679.1-300
Flats,SF05012,Mild Steel Flat 50x12mm,50,12,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF05016,Mild Steel Flat 50x16mm,50,16,,,,,6.28,6.0,300,AS/NZS 3679.1-300
Flats,SF05020,Mild Steel Flat 50x20mm,50,20,,,,,7.85,6.0,300,AS/NZS 3679.1-300
Flats,SF05025,Mild Steel Flat 50x25mm,50,25,,,,,9.81,6.0,300,AS/NZS 3679.1-300
Flats,SF06006,Mild Steel Flat 60x6mm,60,6,,,,,2.83,6.0,300,AS/NZS 3679.1-300
Flats,SF06010,Mild Steel Flat 60x10mm,60,10,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF06012,Mild Steel Flat 60x12mm,60,12,,,,,5.65,6.0,300,AS/NZS 3679.1-300
Flats,SF06503,Mild Steel Flat 65x3mm,65,3,,,,,1.53,6.0,300,AS/NZS 3679.1-300
Flats,SF06505,Mild Steel Flat 65x5mm,65,5,,,,,2.55,6.0,300,AS/NZS 3679.1-300
Flats,SF06506,Mild Steel Flat 65x6mm,65,6,,,,,2.06,6.0,300,AS/NZS 3679.1-300
Flats,SF06508,Mild Steel Flat 65x8mm,65,8,,,,,4.01,6.0,300,AS/NZS 3679.1-300
Flats,SF06510,Mild Steel Flat 65x10mm,65,10,,,,,5.10,6.0,300,AS/NZS 3679.1-300
Flats,SF06516,Mild Steel Flat 65x16mm,65,16,,,,,8.16,6.0,300,AS/NZS 3679.1-300
Flats,SF07503,Mild Steel Flat 75x3mm,75,3,,,,,1.77,6.0,300,AS/NZS 3679.1-300
Flats,SF07505,Mild Steel Flat 75x5mm,75,5,,,,,2.94,6.0,300,AS/NZS 3679.1-300
Flats,SF07506,Mild Steel Flat 75x6mm,75,6,,,,,3.53,6.0,300,AS/NZS 3679.1-300
Flats,SF07508,Mild Steel Flat 75x8mm,75,8,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF07510,Mild Steel Flat 75x10mm,75,10,,,,,5.89,6.0,300,AS/NZS 3679.1-300
Flats,SF07512,Mild Steel Flat 75x12mm,75,12,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF07516,Mild Steel Flat 75x16mm,75,16,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF07520,Mild Steel Flat 75x20mm,75,20,,,,,11.78,6.0,300,AS/NZS 3679.1-300
Flats,SF07525,Mild Steel Flat 75x25mm,75,25,,,,,14.72,6.0,300,AS/NZS 3679.1-300
Flats,SF08006,Mild Steel Flat 80x6mm,80,6,,,,,3.77,6.0,300,AS/NZS 3679.1-300
Flats,SF08010,Mild Steel Flat 80x10mm,80,10,,,,,6.28,6.0,300,AS/NZS 3679.1-300
Flats,SF08012,Mild Steel Flat 80x12mm,80,12,,,,,7.54,6.0,300,AS/NZS 3679.1-300
Flats,SF09006,Mild Steel Flat 90x6mm,90,6,,,,,4.24,6.0,300,AS/NZS 3679.1-300
Flats,SF09010,Mild Steel Flat 90x10mm,90,10,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF09012,Mild Steel Flat 90x12mm,90,12,,,,,8.48,6.0,300,AS/NZS 3679.1-300
Flats,SF10003,Mild Steel Flat 100x3mm,100,3,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF10005,Mild Steel Flat 100x5mm,100,5,,,,,3.93,6.0,300,AS/NZS 3679.1-300
Flats,SF10006,Mild Steel Flat 100x6mm,100,6,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF10008,Mild Steel Flat 100x8mm,100,8,,,,,6.28,6.0,300,AS/NZS 3679.1-300
Flats,SF10010,Mild Steel Flat 100x10mm,100,10,,,,,7.85,6.0,300,AS/NZS 3679.1-300
Flats,SF10012,Mild Steel Flat 100x12mm,100,12,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF10016,Mild Steel Flat 100x16mm,100,16,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Flats,SF10020,Mild Steel Flat 100x20mm,100,20,,,,,15.70,6.0,300,AS/NZS 3679.1-300
Flats,SF10025,Mild Steel Flat 100x25mm,100,25,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Flats,SF13006,Mild Steel Flat 130x6mm,130,6,,,,,6.12,6.0,300,AS/NZS 3679.1-300
Flats,SF13008,Mild Steel Flat 130x8mm,130,8,,,,,8.16,6.0,300,AS/NZS 3679.1-300
Flats,SF13010,Mild Steel Flat 130x10mm,130,10,,,,,10.21,6.0,300,AS/NZS 3679.1-300
Flats,SF13012,Mild Steel Flat 130x12mm,130,12,,,,,12.25,6.0,300,AS/NZS 3679.1-300
Flats,SF13016,Mild Steel Flat 130x16mm,130,16,,,,,16.33,6.0,300,AS/NZS 3679.1-300
Flats,SF13020,Mild Steel Flat 130x20mm,130,20,,,,,20.41,6.0,300,AS/NZS 3679.1-300
Flats,SF15006,Mild Steel Flat 150x6mm,150,6,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF15008,Mild Steel Flat 150x8mm,150,8,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF15010,Mild Steel Flat 150x10mm,150,10,,,,,11.78,6.0,300,AS/NZS 3679.1-300
Flats,SF15012,Mild Steel Flat 150x12mm,150,12,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF15016,Mild Steel Flat 150x16mm,150,16,,,,,18.84,6.0,300,AS/NZS 3679.1-300
Flats,SF15020,Mild Steel Flat 150x20mm,150,20,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF15025,Mild Steel Flat 150x25mm,150,25,,,,,29.44,6.0,300,AS/NZS 3679.1-300
Flats,SF18006,Mild Steel Flat 180x6mm,180,6,,,,,8.48,6.0,300,AS/NZS 3679.1-300
Flats,SF18010,Mild Steel Flat 180x10mm,180,10,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF18012,Mild Steel Flat 180x12mm,180,12,,,,,16.96,6.0,300,AS/NZS 3679.1-300
Flats,SF20006,Mild Steel Flat 200x6mm,200,6,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF20008,Mild Steel Flat 200x8mm,200,8,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Flats,SF20010,Mild Steel Flat 200x10mm,200,10,,,,,15.70,6.0,300,AS/NZS 3679.1-300
Flats,SF20012,Mild Steel Flat 200x12mm,200,12,,,,,18.84,6.0,300,AS/NZS 3679.1-300
Flats,SF20016,Mild Steel Flat 200x16mm,200,16,,,,,25.12,6.0,300,AS/NZS 3679.1-300
Flats,SF20020,Mild Steel Flat 200x20mm,200,20,,,,,31.40,6.0,300,AS/NZS 3679.1-300
Flats,SF20025,Mild Steel Flat 200x25mm,200,25,,,,,39.25,6.0,300,AS/NZS 3679.1-300
Flats,SF23010,Mild Steel Flat 230x10mm,230,10,,,,,18.06,6.0,300,AS/NZS 3679.1-300
Flats,SF25006,Mild Steel Flat 250x6mm,250,6,,,,,11.78,6.0,300,AS/NZS 3679.1-300
Flats,SF25010,Mild Steel Flat 250x10mm,250,10,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Flats,SF25012,Mild Steel Flat 250x12mm,250,12,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF25016,Mild Steel Flat 250x16mm,250,16,,,,,31.40,6.0,300,AS/NZS 3679.1-300
Flats,SF25020,Mild Steel Flat 250x20mm,250,20,,,,,39.25,6.0,300,AS/NZS 3679.1-300
Flats,SF25025,Mild Steel Flat 250x25mm,250,25,,,,,49.06,6.0,300,AS/NZS 3679.1-300
Flats,SF30006,Mild Steel Flat 300x6mm,300,6,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF30010,Mild Steel Flat 300x10mm,300,10,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF30012,Mild Steel Flat 300x12mm,300,12,,,,,28.26,6.0,300,AS/NZS 3679.1-300
Flats,SF30016,Mild Steel Flat 300x16mm,300,16,,,,,37.68,6.0,300,AS/NZS 3679.1-300
Flats,SF30020,Mild Steel Flat 300x20mm,300,20,,,,,47.10,6.0,300,AS/NZS 3679.1-300
Flats,SF30025,Mild Steel Flat 300x25mm,300,25,,,,,58.88,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA02003,Mild Steel Equal Angle 20x20x3mm,20,3,,,,,0.86,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA02503,Mild Steel Equal Angle 25x25x3mm,25,3,,,,,1.12,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA02505,Mild Steel Equal Angle 25x25x5mm,25,5,,,,,1.65,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA03003,Mild Steel Equal Angle 30x30x3mm,30,3,,,,,1.35,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA03005,Mild Steel Equal Angle 30x30x5mm,30,5,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA04003,Mild Steel Equal Angle 40x40x3mm,40,3,,,,,1.83,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA04005,Mild Steel Equal Angle 40x40x5mm,40,5,,,,,2.73,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA05003,Mild Steel Equal Angle 50x50x3mm,50,3,,,,,2.31,6.0,300,AS/NZS 3679.1-300
Equal Angles,SA05005,Mild Steel Equal Angle 50x50x5mm,50,5,,,,,3.48,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA05006,Mild Steel Equal Angle 50x50x6mm,50,6,,,,,4.46,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA05008,Mild Steel Equal Angle 50x50x8mm,50,8,,,,,5.68,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA06006,Mild Steel Equal Angle 60x60x6mm,60,6,,,,,5.42,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA06505,Mild Steel Equal Angle 65x65x5mm,65,5,,,,,4.56,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA06506,Mild Steel Equal Angle 65x65x6mm,65,6,,,,,5.87,6.0;9.0,300,AS/NZS 3679.1-300
Equal Angles,SA06508,Mild Steel Equal Angle 65x65x8mm,65,8,,,,,7.51,6.0;9.0,300,AS/NZS 3679.1-300
